epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.034,1.43647,2.81186,1.39455,0.00248,0.5677,0.0084,0.00358,2.45031,4.06441,2.38602,0.086035,3.5e-05,3.5e-05
2,246.246,1.41019,2.24303,1.3466,0.0029,0.65553,0.04321,0.0178,2.32516,3.88043,2.20768,0.0710721,7.21411e-05,7.21411e-05
3,430.734,1.36952,1.93548,1.31624,0.00413,0.76792,0.12671,0.0715,1.8203,3.45442,1.70921,0.0561089,0.000108911,0.000108911
4,603.28,1.33914,1.72412,1.30764,0.00512,0.9052,0.40468,0.24395,1.40214,2.96347,1.28208,0.0411453,0.00014531,0.00014531
5,827.953,1.33395,1.5571,1.29231,0.79713,0.32318,0.53387,0.31614,1.43006,2.36165,1.28868,0.0261813,0.000181337,0.000181337
6,1086.82,1.29836,1.42035,1.27586,0.6633,0.4494,0.54594,0.34084,1.38863,2.01089,1.24347,0.011217,0.000216993,0.000216993
7,1319.24,1.27497,1.33751,1.26188,0.74203,0.54035,0.67,0.44359,1.29445,1.8287,1.18987,0.000242575,0.000242575,0.000242575
8,1570.5,1.23091,1.26481,1.24185,0.76645,0.59767,0.73093,0.48046,1.30387,1.65668,1.20351,0.000241337,0.000241337,0.000241337
9,1804.75,1.23344,1.21872,1.24012,0.82647,0.72609,0.8417,0.59158,1.19584,1.23866,1.12774,0.0002401,0.0002401,0.0002401
10,2019.5,1.20103,1.16115,1.2276,0.79014,0.66588,0.77581,0.51952,1.27737,1.36189,1.20013,0.000238862,0.000238862,0.000238862
11,2224.67,1.20072,1.11914,1.22232,0.82044,0.71371,0.82149,0.55574,1.23178,1.18873,1.165,0.000237625,0.000237625,0.000237625
12,2451.95,1.1885,1.08414,1.20837,0.80835,0.74614,0.8235,0.56734,1.26861,1.11054,1.19772,0.000236387,0.000236387,0.000236387
13,2654.2,1.17971,1.05015,1.20801,0.83456,0.72754,0.81258,0.56099,1.24714,1.24737,1.18685,0.00023515,0.00023515,0.00023515
14,2828.29,1.16557,1.02665,1.20297,0.86003,0.79668,0.87833,0.62925,1.15164,0.95068,1.12135,0.000233913,0.000233913,0.000233913
15,3014,1.15428,1.00103,1.19485,0.85716,0.78138,0.86644,0.60521,1.20609,0.97903,1.15611,0.000232675,0.000232675,0.000232675
16,3198.59,1.14759,0.98783,1.19379,0.85099,0.778,0.86868,0.58433,1.28118,0.91323,1.17036,0.000231438,0.000231438,0.000231438
17,3384.19,1.14494,0.96903,1.18352,0.8623,0.77907,0.87471,0.6274,1.14948,0.88106,1.10786,0.0002302,0.0002302,0.0002302
18,3568.17,1.12305,0.94358,1.17835,0.89743,0.78278,0.89438,0.62465,1.15714,0.7834,1.11172,0.000228963,0.000228963,0.000228963
19,3745.32,1.12205,0.93314,1.17388,0.90092,0.86749,0.91459,0.67116,1.09646,0.75048,1.07758,0.000227725,0.000227725,0.000227725
20,3924.01,1.11527,0.91256,1.16979,0.87883,0.83104,0.89009,0.65298,1.12959,0.81428,1.10204,0.000226488,0.000226488,0.000226488
21,4095.88,1.12023,0.923,1.17305,0.87786,0.81052,0.88479,0.63944,1.14096,0.83568,1.12283,0.00022525,0.00022525,0.00022525
